t,OF,Pcc,Tcc,Pe,Te,thrust,Isp,x,y,u,v,Ax,Ay,m_ox,n_ox,T_ox,P_ox,mdot_ox,rho_ox,m_f,n_f,T_f,P_f,mdot_f,rho_f,t_burn,Pcc_nominal,mdot_ox_nominal,OF_nominal,diameter,injector_Cd,dt,gamma,specific_gas_const,gas_const,
3.309090909,2.998660751,349.7017884,2765.451374,85953.19515,1436.890385,2111.871415,228.5818027,11.98798407,174.4320598,7.01949685,102.0433193,2.144906307,31.03193605,4.214764438,0.095761808,274.8851037,3781948.38,0.799642867,902.4453389,1.465049505,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.393939394,2.998875104,349.724625,2765.567336,85959.92676,1436.981084,2112.32852,228.5845047,12.5940182,183.2403521,7.197724948,104.6205921,2.142980696,30.9886373,4.143594933,0.094144797,274.794176,3781432.96,0.799700028,902.9614854,1.442871287,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.478787879,2.999417507,349.7824095,2765.85193,85976.58426,1437.203685,2113.03521,228.5911349,13.21485746,192.2625808,7.375810312,107.1945698,2.141264505,30.94901733,4.07243998,0.092528116,274.7025835,3781213.22,0.799844669,903.4827847,1.420693069,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.563636364,2.999601791,349.8020414,2765.946833,85982.38217,1437.277874,2113.48304,228.5933447,13.8504866,201.4984048,7.553725882,109.7647159,2.139222919,30.90294657,4.001308288,0.090911964,274.610329,3780662.997,0.799893811,904.0041519,1.398514851,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.648484848,3.000095937,349.8546822,2766.210235,85997.86155,1437.483955,2114.169886,228.59948,14.50089355,210.9475415,7.731488168,112.331319,2.137379874,30.86034698,3.930192742,0.089296179,274.5173911,3780391.564,0.800025583,904.5305951,1.376336634,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.733333333,3.000243035,349.870352,2766.283981,86002.23517,1437.541652,2114.603057,228.6011975,15.16606228,220.609631,7.909070785,114.8938554,2.135219552,30.81144994,3.859101786,0.087680953,274.4237719,3779799.949,0.800064809,905.0572888,1.354158416,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.818181818,3.000683445,349.9172662,2766.5157,86015.94629,1437.722977,2115.26296,228.6065938,15.84597976,230.4843684,8.08648911,117.4525922,2.133244148,30.76576418,3.788028711,0.086066133,274.32945,3779471.745,0.800182252,905.5889986,1.331980198,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.903030303,3.000787016,349.9282987,2766.573573,86019.19029,1437.76831,2115.679952,228.6079422,16.54062917,240.5713747,8.263717812,120.0070257,2.130964162,30.7140213,3.716981721,0.084451906,274.2344267,3778832.874,0.800209871,906.1211367,1.30980198,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.987878788,3.001168747,349.9689607,2766.773649,86031.13274,1437.924889,2116.310131,228.6126006,17.24999652,250.8703229,8.440771246,122.5574033,2.128856764,30.66525487,3.645954477,0.082838127,274.1386806,3778443.329,0.800311666,906.6582461,1.287623762,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.072727273,3.001223048,349.9747448,2766.800008,86032.85256,1437.945487,2116.703122,228.6132138,17.97406414,261.380814,8.617624516,125.1032297,2.126450028,30.61053087,3.574954962,0.081224978,274.0422125,3777751.907,0.800326146,907.1959579,1.265445545,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.157575758,3.001541565,350.0086722,2766.968415,86042.78078,1438.077335,2117.300285,228.617135,18.71281708,272.1024986,8.794291287,127.6447391,2.124207604,30.55862499,3.50397718,0.079612323,273.9450006,3777296.839,0.800411084,907.7386099,1.243267327,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.242424242,3.002105145,350.0687008,2767.268264,86060.32845,1438.31217,2118.087243,228.6241167,19.46624137,283.035044,8.970783798,130.1821415,2.12211233,30.509244,3.433015606,0.078000036,273.8470236,3777060.269,0.800561372,908.2861439,1.221089109,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.327272727,3.00234221,350.0939507,2767.389272,86067.603,1438.406915,2118.636116,228.6269332,20.23431937,294.1780467,9.147077034,132.7149419,2.119716292,30.45390941,3.362078209,0.076388299,273.7482812,3776522.666,0.800624589,908.8344929,1.198910891,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.412121212,3.002813195,350.1441141,2767.636422,86082.20248,1438.600516,2119.366701,228.6326864,21.01703597,305.5311485,9.323182523,135.2433362,2.117458862,30.4009314,3.29115974,0.074776992,273.6487518,3776193.217,0.800750185,909.3877198,1.176732673,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.496969697,3.002966622,350.1604549,2767.720477,86086.92228,1438.666425,2119.868561,228.6346439,21.81437256,317.0939236,9.499076336,137.7668495,2.114913705,30.3422433,3.220267959,0.073166291,273.5484345,3775571.091,0.800791099,909.9419378,1.154554455,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.581818182,3.003343497,350.2005931,2767.915067,86098.81801,1438.818806,2120.54254,228.6391714,22.62631288,328.865989,9.674769295,140.2856641,2.112498666,30.28574621,3.149397877,0.071556083,273.4473072,3775147.39,0.800891599,910.5010401,1.132376238,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.666666667,3.003928164,350.2628596,2768.225048,86116.9595,1439.061787,2121.37858,228.6463862,23.45284148,340.8469748,9.850271422,142.7999489,2.110204149,30.23128253,3.078544887,0.069946263,273.3453478,3774907.519,0.80104751,911.0649996,1.11019802,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.751515152,3.004197193,350.2915101,2768.366901,86125.41575,1439.172968,2121.986255,228.649687,24.29393947,353.0364446,10.02555846,145.3092248,2.107617925,30.17105533,3.007716717,0.068337008,273.2425546,3774376.757,0.801119252,911.6301798,1.088019802,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.836363636,3.004665403,350.3413711,2768.613677,86139.77323,1439.366498,2122.747972,228.6554301,25.14959014,365.4340016,10.20063994,147.8136511,2.105146441,30.1127444,2.936908977,0.066728216,273.1389049,3774021.835,0.801244108,912.2002447,1.065841584,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
4.921212121,3.004826105,350.3584843,2768.697687,86144.73933,1439.432374,2123.287646,228.6573848,26.01977346,378.0391844,10.37549233,150.3127615,2.10239181,30.04882794,2.866129206,0.06512006,273.0343962,3773383.618,0.801286961,912.7717086,1.043663366,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
5.006060606,3.005177741,350.3959295,2768.881478,86155.80227,1439.576466,2123.976273,228.6616601,26.90447149,390.8515691,10.55012453,152.806703,2.099744311,29.98667752,2.795373221,0.063512445,272.9290055,3772913.584,0.801380731,913.3480936,1.021485149,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
